Resistance (ohms),Temperature (K)
3.5,28.4578
3.6,28.9398
3.7,29.4217
3.8,29.9036
3.9,30.3855
4.0,30.8675
4.1,31.3494
4.2,31.8313
4.3,32.2854
4.4,32.7245
4.5,33.1636
4.6,33.6026
4.7,34.0417
4.8,34.4808
4.9,34.9199
5.0,35.3589
5.1,35.798
5.2,36.2143
5.3,36.6111
5.4,37.0079
5.5,37.4048
5.6,37.8016
5.7,38.1923
5.8,38.5769
5.9,38.9615
6.0,39.3462
6.1,39.7308
6.2,40.1079
6.3,40.4676
6.4,40.8273
6.5,41.1871
6.6,41.5468
6.7,41.9065
6.8,42.2502
6.9,42.5883
7.0,42.9265
7.1,43.2646
7.2,43.6027
7.3,43.9408
7.4,44.279
7.5,44.6171
7.6,44.9552
7.7,45.2933
7.8,45.6314
7.9,45.9696
8.0,46.271
8.1,46.5687
8.2,46.8665
8.3,47.1643
8.4,47.462
8.5,47.7598
8.6,48.0576
8.7,48.3553
8.8,48.6531
8.9,48.9509
9.0,49.2486
9.1,49.5464
9.2,49.8442
9.3,50.1419
9.4,50.4397
9.5,50.7375
9.6,51.0352
9.7,51.333
9.8,51.6308
9.9,51.9285
10.0,52.2021
10.1,52.4681
10.2,52.734
10.3,53.0
10.4,53.266
10.5,53.5319
10.6,53.7979
10.7,54.0638
10.8,54.3298
10.9,54.5957
11.0,54.8617
11.1,55.1277
11.2,55.3936
11.3,55.6596
11.4,55.9255
11.5,56.1915
11.6,56.4574
11.7,56.7234
11.8,56.9894
11.9,57.2553
12.0,57.5213
12.1,57.7872
12.2,58.0494
12.3,58.2963
12.4,58.5432
12.5,58.7901
12.6,59.037
12.7,59.284
12.8,59.5309
12.9,59.7778
13.0,60.0247
13.1,60.2716
13.2,60.5185
13.3,60.7654
13.4,61.0123
13.5,61.2593
13.6,61.5062
13.7,61.7531
13.8,62.0
13.9,62.2469
14.0,62.4938
14.1,62.7407
14.2,62.9877
14.3,63.2346
14.4,63.4815
14.5,63.7284
14.6,63.9753
14.7,64.2222
14.8,64.4691
14.9,64.716
15.0,64.963
15.1,65.202
15.2,65.4396
15.3,65.6773
15.4,65.9149
15.5,66.1526
15.6,66.3902
15.7,66.6279
15.8,66.8655
15.9,67.1031
16.0,67.3408
16.1,67.5784
16.2,67.8161
16.3,68.0537
16.4,68.2913
16.5,68.529
16.6,68.7666
16.7,69.0043
16.8,69.2419
16.9,69.4796
17.0,69.7172
17.1,69.9548
17.2,70.1925
17.3,70.4301
17.4,70.6678
17.5,70.9054
17.6,71.1431
17.7,71.3807
17.8,71.6183
17.9,71.856
18.0,72.0936
18.1,72.3313
18.2,72.5689
18.3,72.8066
18.4,73.0442
18.5,73.2818
